,open,high,low,close,d%change,c%change
2020-02-24,9396.37,9531.12,9313.48,9402.27,-3.0,-5.98
2020-02-25,9440.17,9473.96,9242.93,9270.73,-1.4,-7.29
2020-02-26,9307.43,9384.83,9233.09,9262.44,-0.09,-7.38
2020-02-27,9171.18,9229.96,9019.38,9029.36,-2.52,-9.71
2020-02-28,8889.27,8288.22,8976.64,8367.65,-7.33,-16.32
2020-03-02,8297.14,8333.37,8854.34,8474.36,1.28,-15.26
2020-03-03,8420.38,8283.4,8880.82,8749.76,3.25,-12.5
2020-03-04,8614.31,8571.35,8980.15,8726.53,-0.27,-12.73
2020-03-05,9025.74,8950.09,9560.47,9449.3,8.28,-5.51
2020-03-06,9760.64,9388.9,10221.54,10037.54,6.23,0.38
2020-03-09,11301.32,11077.08,11981.88,11846.38,18.02,18.46
2020-03-10,11332.84,11136.83,12360.66,11494.99,-2.97,14.95
2020-03-11,11737.78,11565.95,12431.28,12211.8,6.24,22.12
2020-03-12,12953.53,12387.19,13400.32,13154.59,7.72,31.55
2020-03-13,12502.16,12350.35,13320.03,12623.44,-4.04,26.23
2020-03-16,13373.85,12563.37,13684.01,13279.05,5.19,32.79
2020-03-17,13181.41,13004.51,13806.77,13669.4,2.94,36.69
2020-03-18,13972.35,13769.29,14665.58,14223.67,4.05,42.24
2020-03-19,14209.35,13659.55,14476.42,13960.36,-1.85,39.6
2020-03-20,13774.63,13372.49,14130.53,13937.38,-0.16,39.37
2020-03-23,13948.25,13686.02,14280.09,14031.65,0.68,40.32
2020-03-24,13536.32,12833.68,13734.77,13181.39,-6.06,31.81
2020-03-25,12767.16,12377.24,13316.44,12831.62,-2.65,28.32
2020-03-26,12686.44,12149.27,12944.88,12631.19,-1.56,26.31
2020-03-27,12919.12,12904.77,13238.13,13181.93,4.36,31.82
2020-03-30,13295.52,13270.3,13492.41,13409.5,1.73,34.09
2020-03-31,13453.73,13204.48,13486.23,13356.97,-0.39,33.57
2020-04-01,13418.76,13408.52,13545.43,13526.82,1.27,35.27
2020-04-02,13488.34,13428.12,13530.75,13494.44,-0.24,34.94
2020-04-03,13423.21,13394.84,13503.83,13422.59,-0.53,34.23
2020-04-06,13414.99,13367.95,13418.91,13388.95,-0.25,33.89
2020-04-07,13328.68,13328.68,13328.68,13328.68,-0.45,33.29
2020-04-08,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-09,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-13,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-14,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-15,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-16,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-17,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-20,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-21,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-22,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-23,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-24,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-27,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-28,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-29,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-04-30,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-01,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-04,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-05,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-06,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-07,13328.68,13328.68,13328.68,13328.68,0.0,33.29
2020-05-08,13327.47,13353.12,13277.25,13350.96,0.17,33.51
2020-05-11,13338.36,13400.64,13332.51,13383.54,0.24,33.84
2020-05-12,13396.59,13410.09,13364.91,13364.91,-0.14,33.65
2020-05-13,13373.19,13378.14,13324.59,13353.84,-0.08,33.54
2020-05-14,13335.3,13365.36,13332.42,13361.94,0.06,33.62
2020-05-15,13350.51,13415.67,13343.49,13410.27,0.36,34.1
2020-05-18,13459.05,13459.05,13415.85,13421.43,0.08,34.21
2020-05-19,13415.4,13447.53,13415.4,13422.78,0.01,34.23
2020-05-20,13447.98,13466.61,13410.81,13429.98,0.05,34.3
2020-05-21,13422.87,13433.4,13401.9,13409.82,-0.15,34.1
2020-05-22,13409.73,13419.99,13390.47,13403.16,-0.05,34.03
2020-05-26,13418.64,13428.72,13353.3,13357.17,-0.34,33.57
2020-05-27,13354.65,13364.64,13274.19,13299.75,-0.43,33.0
2020-05-28,13301.21,13357.36,13203.94,13249.98,-0.37,32.5
2020-05-29,13246.38,13386.67,13199.8,13344.12,0.71,33.44
2020-06-01,13345.56,13454.87,13276.08,13374.66,0.23,33.75
2020-06-02,13386.54,13468.67,13294.03,13373.3,-0.01,33.73
2020-06-03,13438.97,13472.66,13313.42,13339.89,-0.25,33.4
2020-06-04,13314.72,13420.51,13244.88,13340.81,0.01,33.41
