date,symbol,open,high,low,close,volume,dividends,stock_splits
2013-02-01,ZTS,29.661633,29.887627,28.691744,29.20023,66789100,0.0,0
2013-02-04,ZTS,29.275562,30.123037,28.96482,29.209648,7695400,0.0,0
2013-02-05,ZTS,29.426224,30.11362,29.04957,29.228481,5013200,0.0,0
2013-02-06,ZTS,29.171986,29.595724,28.955408,29.219069,2126100,0.0,0
2013-02-07,ZTS,29.190817,30.819853,29.190817,30.132456,3800800,0.0,0
2013-02-08,ZTS,30.424364,31.526081,30.414946,31.121176,2599300,0.0,0
2013-02-11,ZTS,31.130596,31.544916,30.961102,31.318922,1487200,0.0,0
2013-02-12,ZTS,31.450743,32.015724,31.215334,31.7709,1637300,0.0,0
2013-02-13,ZTS,31.827402,31.827402,31.074091,31.591991,1269700,0.0,0
2013-02-14,ZTS,31.441336,31.497835,30.857521,31.32834,2954500,0.0,0
2013-02-15,ZTS,31.366018,32.1005,31.07411,31.996916,5415400,0.0,0
2013-02-19,ZTS,32.034573,32.081654,31.610834,31.865078,1206900,0.0,0
2013-02-20,ZTS,31.865068,31.902735,30.697435,30.810434,1842900,0.0,0
2013-02-21,ZTS,30.603273,30.885765,30.000626,30.659773,3242300,0.0,0
2013-02-22,ZTS,30.866932,31.00818,30.603275,30.688023,954500,0.0,0
2013-02-25,ZTS,30.772772,30.782187,30.132458,30.198372,818900,0.0,0
2013-02-26,ZTS,30.179543,30.509119,30.123045,30.170128,1048700,0.0,0
2013-02-27,ZTS,30.132462,31.121183,30.132462,30.433786,1343600,0.0,0
2013-02-28,ZTS,30.659771,31.591991,30.659771,31.49783,2991400,0.0,0
2013-03-01,ZTS,31.41308,32.674877,31.215338,32.58071,2334000,0.0,0
2013-03-04,ZTS,32.769035,32.853786,32.241722,32.3453,865400,0.0,0
2013-03-05,ZTS,32.401806,32.46772,31.780325,32.28881,1413400,0.0,0
2013-03-06,ZTS,32.33589,32.373558,31.874487,31.874487,802000,0.0,0
2013-03-07,ZTS,31.968649,32.656044,31.60141,32.54305,1320000,0.0,0
2013-03-08,ZTS,32.043983,32.665466,31.827406,32.100483,1541100,0.0,0
2013-03-11,ZTS,31.987492,32.260563,31.30951,32.185234,1729400,0.0,0
2013-03-12,ZTS,32.128735,32.241734,31.639084,31.846245,1557600,0.0,0
2013-03-13,ZTS,31.921574,32.072235,31.14943,32.015736,2240800,0.0,0
2013-03-14,ZTS,32.326473,33.352856,32.29822,32.618378,1865200,0.0,0
2013-03-15,ZTS,32.674877,32.806705,31.366,31.488409,2692100,0.0,0
2013-03-18,ZTS,30.838682,31.017591,30.735102,30.92343,2372000,0.0,0
2013-03-19,ZTS,30.88577,31.469585,30.443203,30.88577,1336200,0.0,0
2013-03-20,ZTS,30.979933,31.58258,30.603275,31.554329,1944000,0.0,0
2013-03-21,ZTS,31.921574,32.015736,31.347174,31.516668,514500,0.0,0
2013-03-22,ZTS,31.592,31.780327,30.829273,31.187094,763300,0.0,0
2013-03-25,ZTS,31.526085,31.526085,30.36787,30.565613,1324600,0.0,0
2013-03-26,ZTS,30.819849,30.87635,30.132454,30.612688,1396500,0.0,0
2013-03-27,ZTS,30.490276,30.97051,30.188953,30.829268,1896800,0.0,0
2013-03-28,ZTS,30.93286,31.544926,30.7257,31.450764,7434900,0.0,0
2013-04-01,ZTS,31.469582,31.629662,30.537361,30.688023,1466300,0.0,0
2013-04-02,ZTS,30.753937,31.196508,30.565609,30.650356,712200,0.0,0
2013-04-03,ZTS,30.76335,31.05526,30.471445,30.631521,1409700,0.0,0
2013-04-04,ZTS,30.51853,30.603277,29.859383,29.981796,1946400,0.0,0
2013-04-05,ZTS,29.878212,30.19837,28.785912,30.09479,3963500,0.0,0
2013-04-08,ZTS,30.08538,31.055267,29.915884,30.998768,1965200,0.0,0
2013-04-09,ZTS,31.12117,31.629656,30.65977,31.488409,2004400,0.0,0
2013-04-10,ZTS,31.789757,31.789757,31.055279,31.215359,969500,0.0,0
2013-04-11,ZTS,31.28126,31.300093,30.951683,31.22476,1826600,0.0,0
2013-04-12,ZTS,31.045847,31.403667,30.69744,31.290672,723500,0.0,0
2013-04-15,ZTS,31.140007,31.290668,30.29253,30.358448,839500,0.0,0
2013-04-16,ZTS,30.471455,31.422508,30.40554,31.271847,2271200,0.0,0
2013-04-17,ZTS,31.055265,31.290676,30.292536,30.970518,3140500,0.0,0
2013-04-18,ZTS,31.168253,31.168253,30.490276,30.575024,799900,0.0,0
2013-04-19,ZTS,30.801023,30.876356,29.953548,30.801023,2159300,0.0,0
