date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,FTNT,3.76,3.770000000000001,3.618,3.692,11076000,0.0,0.0
2011-09-09,FTNT,3.642,3.668,3.496,3.526,10395500,0.0,0.0
2011-09-12,FTNT,3.458,3.536,3.38,3.49,13243500,0.0,0.0
2011-09-13,FTNT,3.5,3.5200000000000005,3.426,3.498,9640000,0.0,0.0
2011-09-14,FTNT,3.51,3.8,3.5,3.724,15236000,0.0,0.0
2011-09-15,FTNT,3.762,3.798,3.684,3.782,8343000,0.0,0.0
2011-09-16,FTNT,3.776,3.796,3.624,3.63,14489000,0.0,0.0
2011-09-19,FTNT,3.572,3.722,3.54,3.676,13723500,0.0,0.0
2011-09-20,FTNT,3.71,3.738,3.478,3.478,9891000,0.0,0.0
2011-09-21,FTNT,3.5,3.63,3.5,3.504,9858500,0.0,0.0
2011-09-22,FTNT,3.386,3.494,3.188,3.3200000000000003,13797000,0.0,0.0
2011-09-23,FTNT,3.29,3.338,3.156,3.25,19400000,0.0,0.0
2011-09-26,FTNT,3.2700000000000005,3.5200000000000005,3.25,3.506,15058000,0.0,0.0
2011-09-27,FTNT,3.554,3.598,3.454,3.47,7729000,0.0,0.0
2011-09-28,FTNT,3.476,3.514,3.3840000000000003,3.3920000000000003,7729000,0.0,0.0
2011-09-29,FTNT,3.4560000000000004,3.496,3.222,3.3600000000000003,9284500,0.0,0.0
2011-09-30,FTNT,3.316,3.47,3.272,3.3600000000000003,15192500,0.0,0.0
2011-10-03,FTNT,3.3240000000000003,3.418,3.282,3.306,12127000,0.0,0.0
2011-10-04,FTNT,3.248,3.382,3.16,3.326,11964500,0.0,0.0
2011-10-05,FTNT,3.322,3.45,3.2380000000000004,3.406,9814500,0.0,0.0
2011-10-06,FTNT,3.41,3.596,3.354,3.5740000000000003,11441500,0.0,0.0
2011-10-07,FTNT,3.576,3.658,3.514,3.588,9633000,0.0,0.0
2011-10-10,FTNT,3.624,3.728,3.618,3.712,8186500,0.0,0.0
2011-10-11,FTNT,3.634,3.694,3.598,3.654,11753000,0.0,0.0
2011-10-12,FTNT,3.676,3.71,3.53,3.544,10691500,0.0,0.0
2011-10-13,FTNT,3.504,3.72,3.502,3.714,13315500,0.0,0.0
2011-10-14,FTNT,3.764,3.992,3.724,3.962,12969000,0.0,0.0
2011-10-17,FTNT,3.956,3.956,3.8,3.854,7886500,0.0,0.0
2011-10-18,FTNT,3.874,3.964,3.78,3.93,6380000,0.0,0.0
2011-10-19,FTNT,3.928,3.938,3.658,3.7,11127000,0.0,0.0
2011-10-20,FTNT,3.722,3.752,3.522,3.644,14540000,0.0,0.0
2011-10-21,FTNT,3.698,3.708,3.508,3.528,12687000,0.0,0.0
2011-10-24,FTNT,3.616,3.868,3.554,3.824,24787500,0.0,0.0
2011-10-25,FTNT,4.044,4.3,3.976,4.292,50093500,0.0,0.0
